"SalePrice","Total_SF","OverallQual","GarageArea","Neighborhood","GrLivArea","KitchenQual","YearRemodAdd"
208500,2566,7,548,"CollgCr",1710,"Gd",2003
181500,2524,6,460,"Veenker",1262,"TA",1976
223500,2706,7,608,"CollgCr",1786,"Gd",2002
140000,2473,7,642,"Crawfor",1717,"Gd",1970
250000,3343,8,836,"NoRidge",2198,"Gd",2000
143000,2158,5,480,"Mitchel",1362,"TA",1995
307000,3380,8,636,"Somerst",1694,"Gd",2005
200000,3197,7,484,"NWAmes",2090,"TA",1973
129900,2726,7,468,"OldTown",1774,"TA",1950
118000,2068,5,205,"BrkSide",1077,"TA",1950
129500,2080,5,384,"Sawyer",1040,"TA",1965
345000,3499,9,736,"NridgHt",2324,"Ex",2006
144000,1824,5,352,"Sawyer",912,"TA",1962
279500,2988,7,840,"CollgCr",1494,"Gd",2007
157000,2506,6,352,"NAmes",1253,"TA",1960
132000,1686,7,576,"BrkSide",854,"TA",2001
149000,2008,6,480,"NAmes",1004,"TA",1970
90000,1296,4,516,"Sawyer",1296,"TA",1967
159000,2228,5,576,"SawyerW",1114,"Gd",2004
139000,2368,5,294,"NAmes",1339,"TA",1965
325300,3534,8,853,"NridgHt",2376,"Gd",2006
139400,1745,7,280,"IDOTRR",1108,"Gd",1950
230000,3572,8,534,"CollgCr",1795,"Gd",2002
129900,2100,5,572,"MeadowV",1060,"TA",1976
154000,2120,5,270,"Sawyer",1060,"Gd",2001
256300,3166,8,890,"NridgHt",1600,"Gd",2007
134800,1800,5,576,"NAmes",900,"Gd",2000
306000,3408,8,772,"NridgHt",1704,"Gd",2008
207500,3084,5,319,"NAmes",1600,"TA",1997
68500,1040,4,240,"BrkSide",520,"Fa",1950
40000,1966,4,250,"IDOTRR",1317,"TA",1950
149350,2456,5,271,"Sawyer",1228,"Gd",2006
179900,2468,8,484,"CollgCr",1234,"Gd",2007
165500,3098,5,447,"NAmes",1700,"Gd",1959
277500,3122,9,556,"NridgHt",1561,"Ex",2005
309000,3569,8,691,"NridgHt",2452,"Gd",2005
145000,2194,5,672,"CollgCr",1097,"TA",1995
153000,2594,5,498,"NAmes",1297,"TA",1990
109000,2114,5,246,"NAmes",1057,"Gd",2007
82000,1152,4,0,"Edwards",1152,"Fa",1955
160000,2412,6,440,"NAmes",1324,"TA",1965
170000,2678,5,308,"Timber",1328,"TA",1959
144000,1724,5,504,"SawyerW",884,"Gd",1983
130250,1876,5,308,"CollgCr",938,"TA",1980
141000,2300,5,300,"NAmes",1150,"TA",1959
319900,3504,9,576,"NridgHt",1752,"Ex",2005
239686,3583,7,670,"Mitchel",2149,"Gd",2003
249700,3312,8,826,"Somerst",1656,"Gd",2006
113000,2188,4,0,"OldTown",1452,"TA",2008
127000,1910,5,386,"Sawyer",955,"TA",1966
177000,2264,6,388,"Gilbert",1470,"TA",1997
114500,1632,6,528,"BrkSide",1176,"TA",1950
110000,1632,5,516,"IDOTRR",816,"TA",1963
385000,3684,9,894,"Veenker",1842,"Gd",1987
130000,1744,5,572,"NAmes",1360,"TA",1955
180500,2850,6,576,"NAmes",1425,"TA",1964
172500,2709,8,480,"Somerst",1739,"Gd",2000
196500,2580,7,565,"CollgCr",1720,"Gd",2004
438780,4355,10,641,"StoneBr",2945,"Gd",2006
124900,1560,5,352,"CollgCr",780,"TA",1972
158000,2316,6,576,"SawyerW",1158,"Gd",2004
101000,1641,5,288,"IDOTRR",1111,"Fa",1996
202500,2740,8,484,"NridgHt",1370,"Gd",2006
140000,2286,7,480,"OldTown",1710,"TA",1950
219500,3091,7,645,"CollgCr",2034,"Gd",1998
317000,3616,8,852,"NridgHt",2473,"Gd",2005
180000,4154,7,576,"NAmes",2207,"TA",1989
226000,2932,7,558,"CollgCr",1479,"Gd",2003
80000,1494,4,220,"OldTown",747,"TA",1950
225000,3591,7,667,"ClearCr",2287,"TA",1953
244000,4446,7,516,"NAmes",2223,"TA",1973
129500,1690,4,360,"Mitchel",845,"TA",2006
185000,2550,7,427,"Gilbert",1718,"TA",1998
144900,2172,5,490,"NAmes",1086,"TA",2003
107400,2445,3,379,"OldTown",1605,"TA",1950
91000,1450,4,297,"MeadowV",988,"TA",1973
135750,1904,4,283,"NAmes",952,"TA",1956
127000,1957,5,240,"BrkSide",1285,"TA",2001
136500,3536,4,0,"Sawyer",1768,"TA",1968
110000,1670,5,440,"OldTown",1230,"TA",1981
193500,3038,6,509,"NAmes",2142,"Gd",1968
153500,2574,6,405,"Mitchel",1337,"TA",1998
245000,3126,8,758,"Somerst",1563,"Gd",2007
126500,2130,5,461,"NAmes",1065,"TA",1960
168500,1858,7,400,"Gilbert",1474,"TA",1996
260000,3705,8,462,"NoRidge",2417,"Gd",1992
174000,2244,6,400,"Gilbert",1560,"Gd",2005
164500,1836,6,528,"Somerst",1224,"Gd",2009
85000,2026,3,0,"IDOTRR",1526,"Fa",1982
